1	### #1. Deployer-as-default-recipient pattern is widespread
2	### #2. Oracle and Finance contracts don't tightly compose
3	### #3. The "scoring system" uses Seer hot-path everywhere
4	### #4. Bootstrap fragility at multiple layers
27	### #27. `proxy.ts` at repo root is named wrong (RETRACTED)
28	### #28. `next.config.ts` ships a strict CSP that will break the app (RETRACTED)
29	### #29. `next.config.ts` has `typescript: { ignoreBuildErrors: true }` — broken-import routes will deploy
30	### #30. WebSocket internal `/event` endpoint — string `!==` secret comparison + unbounded body
31	### #31. Token revocation in `verifyJWT` — Upstash failure is fail-open in dev, fail-closed in prod
32	### #32. `lib/db.ts` — every query is wrapped in BEGIN/COMMIT
33	### #33. `getClient()` overrides `client.query` to inject auto-transactions — easy to break
34	### #34. `ProofScoreBurnRouter.computeFees` — view function `require(totalFees <= amount)`
35	### #35. `ProofScoreBurnRouter.computeFees` — `microTxFeeCeilingBps` can override the linear floor incorrectly
36	### #36. `ProofScoreBurnRouter.recordVolume` is `nonReentrant` and `whenNotPaused` — adds gas to every transfer
37	### #37. `EcosystemVault.sol` is 1,415 lines
38	### #38. `chats.${a}_${b}` topic format relies on lowercase + lex order
39	### #39. `app/api/auth/route.ts` — analyzed activity has `then()` without `await`
40	### #40. Two POST routes with no schema validation
41	### #41. `lib/db.ts:280` — `query` swallows DB errors and rewraps as generic message
42	### #42. `recordVolume` failure path swallows the reason without context
43	(Rounds 1-3 also identified general code hygiene and structure concerns — duplicate test directories, oversized contracts, etc. — see #43, #44 below.)
44	### #44. Repo bloat — duplicate test directories `__tests__/` AND `test/`
45	### #45. `app/api/merchant/installments/route.ts` — `.catch(() => ({ rows: [] }))` masks DB errors
46	### #46. Mock files exist in production codebase
47	### #47. `package.json` script `postinstall: npm run validate:env`
48	### #48. RLS USING(true) bug — Row-Level Security policies enabled but never activated
62	Multiple critical frontend → backend gaps (#62, #91, #92, #94, #95, #97, #99, #100) where the UI calls APIs that either don't exist, have route closure bugs, or accept user-supplied data that should be server-verified.
63	### #63. Production rate limiting silently disabled if `VFIDE_TRUST_PROXY_HEADERS` env unset
64	### #64. WS server JWT verify race can accept revoked tokens via secret-rotation fallback
65	### #65. `merchant/returns` PATCH silently swallows inventory restock errors
66	**Description**: Build errors are suppressed, allowing routes with broken imports to ship. Combined with #66 (the withAuth import bug), means deploys can succeed despite runtime-fatal import errors.
