1	63	0	scripts/generate-badge-artwork.ts:24:  bgA: '#1f2937',;__tests__/components/DAOComponents.test.tsx:103:    expect(screen.getByTestId('proposal-id')).toHaveTextContent('#1');lib/sdk.ts:268:      backgroundColor: this.config.theme === 'dark' ? '#1a1a2e' : '#fff',;lib/sdk.ts:269:      color: this.config.theme === 'dark' ? '#fff' : '#1a1a2e',;lib/sdk.ts:317:        color: this.config.theme === 'dark' ? '#fff' : '#1a1a2e',;
2	37	0	scripts/generate-badge-artwork.ts:15:  'Trust & Community': { bgA: '#2f1730', bgB: '#7c3280', ring: '#e6a9ee', accent: '#f9d8ff' },;scripts/generate-badge-artwork.ts:16:  'Commerce & Merchants': { bgA: '#0f2f21', bgB: '#2e7f57', ring: '#8bffc2', accent: '#cbffe2' },;scripts/generate-badge-artwork.ts:19:  'Education & Contribution': { bgA: '#13243d', bgB: '#2f5da8', ring: '#96c4ff', accent: '#d7e9ff' },;lib/design-tokens.ts:303:  '#2A2A2F': 'zinc-800',         // Card background;lib/design-tokens.ts:324:  'bg-[#2A2A2F]': 'bg-zinc-800',;
3	52	0	migrations/20260319_140000_merchant_catalog_storefront_orders.sql:30:  theme_color VARCHAR(7),  -- hex e.g. "#3B82F6";scripts/generate-badge-artwork.ts:18:  'Achievements & Milestones': { bgA: '#3d1f10', bgB: '#ba5d1f', ring: '#ffbe94', accent: '#ffe3d2' },;scripts/generate-badge-artwork.ts:20:  'Headhunter Competition': { bgA: '#3b0f18', bgB: '#8a263f', ring: '#ff9db5', accent: '#ffd7e2' },;lib/accessibility.tsx:338:      outline: 2px solid #3b82f6 !important;;lib/design-tokens.ts:47:    info: '#3B82F6',;
4	34	0	scripts/generate-badge-artwork.ts:17:  'Security & Integrity': { bgA: '#231b36', bgB: '#4f3f87', ring: '#bdb4ff', accent: '#e3deff' },;scripts/generate-badge-artwork.ts:25:  bgB: '#4b5563',;scripts/generate-badge-artwork.ts:32:  Uncommon: '#4ade80',;lib/storiesSystem.ts:46:  { gradient: 'linear-gradient(135deg, #4facfe 0%, #00f2fe 100%)', name: 'Ocean Blue' },;lib/design-tokens.ts:288:  '#4ECDC4': 'teal-400',         // Teal accent;
5	10	0	lib/design-tokens.ts:22:    light: '#5BFAFF',;lib/design-tokens.ts:283:  '#5BFAFF': 'cyan-300',         // Light accent;lib/chains.ts:85:    color: '#0052FF',;__tests__/chains.test.ts:90:      expect(base.color).toBe('#0052FF');lib/__mocks__/chains.ts:50:    color: '#0052FF',;
6	31	0	lib/design-tokens.ts:63:    muted: '#6B6B78',;lib/design-tokens.ts:310:  '#6B6B78': 'zinc-500',         // Very muted text;__tests__/app/store-client-cart.test.tsx:49:          theme_color: '#06b6d4',;lib/ux/designSystem.ts:34:    700: '#6d28d9',;lib/ux/designSystem.ts:89:    500: '#6b7280',;
7	16	0	scripts/generate-badge-artwork.ts:15:  'Trust & Community': { bgA: '#2f1730', bgB: '#7c3280', ring: '#e6a9ee', accent: '#f9d8ff' },;__tests__/app/flashloans-page.test.tsx:122:      expect(screen.getByText(/Lane #7/i)).toBeInTheDocument();;lib/ux/designSystem.ts:31:    400: '#7B61FF',;lib/ux/designSystem.ts:33:    600: '#7c3aed',;lib/ux/designSystem.ts:79:    900: '#7f1d1d',;
8	27	0	scripts/generate-badge-artwork.ts:16:  'Commerce & Merchants': { bgA: '#0f2f21', bgB: '#2e7f57', ring: '#8bffc2', accent: '#cbffe2' },;scripts/generate-badge-artwork.ts:20:  'Headhunter Competition': { bgA: '#3b0f18', bgB: '#8a263f', ring: '#ff9db5', accent: '#ffd7e2' },;lib/design-tokens.ts:23:    dark: '#0080FF',;lib/design-tokens.ts:284:  '#0080FF': 'blue-500',         // Dark accent / secondary;lib/chains.ts:136:    color: '#8C8DFC',;
9	13	0	scripts/generate-badge-artwork.ts:13:  'Pioneer & Foundation': { bgA: '#322117', bgB: '#9d6b2b', ring: '#ffcc80', accent: '#ffe0b2' },;lib/sdk.ts:343:        color: this.config.theme === 'dark' ? '#666' : '#9ca3af',;lib/sdk.ts:506:        color: this.config.theme === 'dark' ? '#666' : '#9ca3af',;lib/networkLatency.ts:40:      return '#9ACD32'; // Yellow-green;lib/ux/designSystem.ts:88:    400: '#9ca3af',;
10	7	0	__tests__/analytics/ReportingAnalytics.test.tsx:68:        color: '#10b981';__tests__/analytics/ReportingAnalytics.test.tsx:108:    color: '#10b981';docs/VFIDE-TECHNICAL-REFERENCE.md:22:10. [Badge & Achievement System](#10-badge--achievement-system);docs/guides/REPORTING-ANALYTICS-GUIDE.md:328:      color: '#10b981';docs/guides/USER-PROFILE-GUIDE.md:1434:          accent: '#10b981',;
11	2	0	docs/VFIDE-TECHNICAL-REFERENCE.md:23:11. [Social Payment Features](#11-social-payment-features);docs/DOCUMENTATION-INDEX.md:238:### Future: Phase 3 Items #11-20;
12	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:24:12. [Referral & Incentive Systems](#12-referral--incentive-systems);
13	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:25:13. [Cross-Chain Operations](#13-cross-chain-operations);
14	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:26:14. [Stealth & Privacy Features](#14-stealth--privacy-features);
15	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:27:15. [Streaming Payments](#15-streaming-payments);
16	2	0	lib/ux/designSystem.ts:48:    600: '#16a34a',;docs/VFIDE-TECHNICAL-REFERENCE.md:28:16. [Time Locks & Vesting](#16-time-locks--vesting);
17	2	0	docs/VFIDE-TECHNICAL-REFERENCE.md:29:17. [Multisig Operations](#17-multisig-operations);docs/guides/REPORTING-ANALYTICS-GUIDE.md:924:**Version**: 1.0.0 (Phase 3, Item #17);
18	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:30:18. [API Routes & Endpoints](#18-api-routes--endpoints);
19	1	0	docs/VFIDE-TECHNICAL-REFERENCE.md:31:19. [Complete Function Index](#19-complete-function-index);
22	3	0	lib/design-tokens.ts:45:    success: '#22C55E',;lib/ux/designSystem.ts:47:    500: '#22c55e',;app/globals.css:30:    --success: #22C55E;;
26	1	0	lib/ux/designSystem.ts:126:    usdt: '#26a17b',;
